Time,LAT
0.858,114.6
0.859,109.6
0.860,90.63
0.861,80.62
0.862,35.64
0.863,17.64
0.864,-3.379
0.865,-9.379
0.866,-29.38
0.867,-60.38
0.868,-113.4
0.869,-149.4
0.870,-215.4
0.871,-258.4
0.872,-260.4
0.873,-210.4
0.874,-98.38
0.875,-7.374
0.876,-105.4
0.877,-147.4
0.878,-183.4
0.879,-91.39
0.880,50.62
0.881,187.6
0.882,294.6
0.883,344.6
0.884,323.6
0.885,289.6
0.886,239.6
0.887,191.6
0.888,147.6
0.889,122.6
0.890,66.62
0.891,38.62
0.892,4.626
0.893,-40.39
0.894,-111.4
0.895,-154.4
0.896,-175.4
0.897,-151.4
0.898,-157.4
0.899,-138.4
0.900,-155.4
0.901,-137.4
0.902,-95.38
0.903,-55.39
0.904,-32.37
0.905,-22.39
0.906,-42.38
0.907,12.62
0.908,84.61
0.909,112.6
0.910,133.6
0.911,112.6
0.912,40.63
0.913,13.61
0.914,-2.384
0.915,-39.38
0.916,-173.4
0.917,-300.4
0.918,-238.4
0.919,-87.38
0.920,57.63
0.921,40.63
0.922,-65.38
0.923,-147.4
0.924,-169.4
0.925,-134.4
0.926,70.61
0.927,125.6
0.928,-13.37
0.929,-43.37
0.930,-88.37
0.931,-159.4
0.932,-95.38
0.933,53.64
0.934,222.6
0.935,314.6
0.936,416.6
0.937,420.6
0.938,370.6
0.939,239.6
0.940,199.6
0.941,183.6
0.942,119.6
0.943,119.6
0.944,112.6
0.945,102.6
0.946,80.62
0.947,50.62
0.948,18.63
0.949,-21.38
0.950,-59.38
0.951,-85.37
0.952,-109.4
0.953,-118.4
0.954,-141.4
0.955,-167.4
0.956,-170.4
0.957,-152.4
0.958,-119.4
0.959,-106.4
0.960,-90.39
0.961,-65.38
0.962,-76.39
0.963,-70.37
0.964,-65.38
0.965,-41.38
0.966,-19.39
0.967,-7.374
0.968,8.621
0.969,8.621
0.970,20.62
0.971,22.63
0.972,14.62
0.973,-5.384
0.974,-48.38
0.975,-114.4
0.976,-112.4
0.977,-110.4
0.978,-98.38
0.979,-146.4
0.980,-234.4
0.981,-175.4
0.982,-76.39
0.983,53.64
0.984,138.6
0.985,144.6
0.986,90.63
0.987,75.63
0.988,109.6
0.989,135.6
0.990,187.6
0.991,196.6
0.992,180.6
0.993,108.6
0.994,28.63
0.995,-35.37
0.996,-67.37
0.997,-130.4
0.998,-200.4
0.999,-248.4
1.000,-175.4
1.001,-68.37
1.002,32.62
1.003,77.62
1.004,56.62
1.005,72.63
1.006,77.62
1.007,-42.38
1.008,-49.37
1.009,-67.37
1.010,32.62
1.011,181.6
1.012,249.6
1.013,269.6
1.014,242.6
1.015,178.6
1.016,103.6
1.017,49.61
1.018,-7.374
1.019,-40.39
1.020,-75.38
1.021,-111.4
1.022,-134.4
1.023,-155.4
1.024,-141.4
1.025,-96.38
1.026,-70.37
1.027,-47.38
1.028,-60.38
1.029,-63.38
1.030,-59.38
1.031,-87.38
1.032,-116.4
1.033,-103.4
1.034,-59.38
1.035,-67.37
1.036,-83.38
1.037,-105.4
1.038,-71.37
1.039,-47.38
1.040,56.62
1.041,133.6
1.042,214.6
1.043,247.6
1.044,193.6
1.045,154.6
1.046,146.6
1.047,95.62
1.048,50.62
1.049,-39.38
1.050,-119.4
1.051,-81.38
1.052,-44.38
1.053,-34.37
1.054,-175.4
1.055,-289.4
1.056,-196.4
1.057,-103.4
1.058,-74.38
1.059,-160.4
1.060,-85.37
1.061,46.63
1.062,136.6
1.063,271.6
1.064,326.6
1.065,303.6
1.066,242.6
1.067,194.6
1.068,119.6
1.069,96.63
1.070,80.62
1.071,50.62
1.072,-1.389
1.073,-43.37
1.074,-127.4
1.075,-145.4
1.076,-95.38
1.077,-83.38
1.078,-92.38
1.079,-70.37
1.080,-61.37
1.081,-73.39
1.082,-138.4
1.083,-245.4
1.084,-202.4
1.085,-75.38
1.086,47.62
1.087,100.6
1.088,-37.39
1.089,-18.36
1.090,16.61
1.091,-17.37
1.092,-57.38
1.093,-124.4
1.094,-77.38
1.095,55.63
1.096,171.6
1.097,288.6
1.098,276.6
1.099,180.6
1.100,123.6
1.101,50.62
1.102,39.63
1.103,20.62
1.104,-21.38
1.105,-52.37
1.106,-76.39
1.107,-56.38
1.108,-14.37
1.109,2.621
1.110,20.62
1.111,42.63
1.112,-48.38
1.113,-43.37
1.114,-48.38
1.115,-107.4
1.116,-165.4
1.117,-117.4
1.118,-34.37
1.119,30.62
1.120,96.63
1.121,158.6
1.122,178.6
1.123,130.6
1.124,79.63
1.125,26.62
1.126,6.632
1.127,-76.39
1.128,-131.4
1.129,-133.4
1.130,-131.4
1.131,-147.4
1.132,-134.4
1.133,-81.38
1.134,-39.38
1.135,-107.4
1.136,-38.38
1.137,56.62
1.138,145.6
1.139,109.6
1.140,113.6
1.141,108.6
1.142,124.6
1.143,86.62
1.144,5.621
1.145,-25.37
1.146,-93.38
1.147,-119.4
1.148,-134.4
1.149,-75.38
1.150,-53.37
1.151,-34.37
1.152,-117.4
1.153,-69.38
1.154,-17.37
1.155,-119.4
1.156,-38.38
1.157,85.63
1.158,191.6
1.159,249.6
1.160,164.6
1.161,137.6
1.162,94.63
1.163,-41.38
1.164,-24.38
1.165,21.63
1.166,52.61
1.167,44.62
1.168,-38.38
1.169,-75.38
1.170,-97.37
1.171,-137.4
1.172,-115.4
1.173,-68.37
1.174,-107.4
1.175,-93.38
1.176,-151.4
1.177,-103.4
1.178,-15.38
1.179,100.6
1.180,171.6
1.181,240.6
1.182,207.6
1.183,136.6
1.184,37.63
1.185,-45.38
1.186,-26.38
1.187,21.63
1.188,64.63
1.189,74.62
1.190,1.626
1.191,-33.38
1.192,-47.38
1.193,-28.37
1.194,-7.374
1.195,-27.38
1.196,-86.37
1.197,-182.4
1.198,-207.4
1.199,-176.4
1.200,-101.4
1.201,19.63
1.202,56.62
1.203,12.62
1.204,76.63
1.205,144.6
1.206,207.6
1.207,272.6
1.208,234.6
1.209,122.6
1.210,5.621
1.211,-27.38
1.212,-38.38
1.213,-41.38
1.214,-23.38
1.215,-62.38
1.216,-123.4
1.217,-133.4
1.218,-145.4
1.219,-119.4
1.220,-53.37
1.221,-21.38
1.222,-26.38
1.223,-10.37
1.224,35.64
1.225,52.61
1.226,108.6
1.227,156.6
1.228,167.6
1.229,111.6
1.230,68.62
1.231,32.62
1.232,-152.4
1.233,-271.4
1.234,-205.4
1.235,-143.4
1.236,-83.38
1.237,-88.37
1.238,16.61
1.239,-7.374
1.240,14.62
1.241,76.63
1.242,131.6
1.243,167.6
1.244,146.6
1.245,65.62
1.246,0.6316
1.247,-119.4
1.248,-186.4
1.249,-241.4
1.250,-231.4
1.251,-97.37
1.252,40.63
1.253,151.6
1.254,148.6
1.255,113.6
1.256,99.61
1.257,19.63
1.258,-47.38
1.259,-238.4
1.260,-266.4
1.261,-135.4
1.262,75.63
1.263,245.6
1.264,332.6
1.265,330.6
1.266,275.6
1.267,198.6
1.268,160.6
1.269,97.63
1.270,-106.4
1.271,-284.4
1.272,-326.4
1.273,-236.4
1.274,-101.4
1.275,70.61
1.276,148.6
1.277,161.6
1.278,113.6
1.279,59.62
1.280,14.62
1.281,38.62
1.282,19.63
1.283,0.6316
1.284,-34.37
1.285,-115.4
1.286,-106.4
1.287,-179.4
1.288,-137.4
1.289,-75.38
1.290,16.61
1.291,23.62
1.292,11.62
1.293,-2.384
1.294,16.61
1.295,36.63
1.296,16.61
1.297,-158.4
1.298,-206.4
1.299,-192.4
1.300,-135.4
1.301,4.626
1.302,106.6
1.303,181.6
1.304,259.6
1.305,292.6
1.306,233.6
1.307,158.6
1.308,120.6
1.309,56.62
1.310,-3.379
1.311,-3.379
1.312,-33.38
1.313,-175.4
1.314,-147.4
1.315,-103.4
1.316,-43.37
1.317,6.632
1.318,56.62
1.319,42.63
1.320,38.62
1.321,29.62
1.322,18.63
1.323,-18.36
1.324,-32.37
1.325,-61.37
1.326,-112.4
1.327,-206.4
1.328,-228.4
1.329,-185.4
1.330,-96.38
1.331,-15.38
1.332,27.62
1.333,50.62
1.334,43.63
1.335,58.63
1.336,114.6
1.337,134.6
1.338,106.6
1.339,130.6
1.340,115.6
1.341,66.62
1.342,24.63
1.343,-41.38
1.344,-103.4
1.345,-189.4
1.346,-289.4
1.347,-429.4
1.348,-295.4
1.349,-159.4
1.350,-17.37
1.351,44.62
1.352,-79.37
1.353,-61.37
1.354,107.6
1.355,270.6
1.356,198.6
1.357,108.6
1.358,96.63
1.359,22.63
1.360,3.632
1.361,142.6
1.362,241.6
1.363,302.6
1.364,301.6
1.365,160.6
1.366,134.6
1.367,156.6
1.368,168.6
1.369,188.6
1.370,156.6
1.371,46.63
1.372,-49.37
1.373,-84.38
1.374,-87.38
1.375,-116.4
1.376,-106.4
1.377,-124.4
1.378,-160.4
1.379,-223.4
1.380,-224.4
1.381,-214.4
1.382,-153.4
1.383,-88.37
1.384,-101.4
1.385,-59.38
1.386,32.62
1.387,112.6
1.388,127.6
1.389,115.6
1.390,42.63
1.391,17.64
1.392,13.61
1.393,15.62
1.394,-34.37
1.395,-72.36
1.396,-52.37
1.397,12.62
1.398,46.63
1.399,6.632
1.400,-95.38
1.401,-63.38
1.402,-61.37
1.403,-103.4
1.404,-71.37
1.405,-9.379
1.406,61.63
1.407,93.63
1.408,92.62
1.409,65.62
1.410,8.621
1.411,21.63
1.412,20.62
1.413,2.621
1.414,-39.38
1.415,-119.4
1.416,-121.4
1.417,-71.37
1.418,-34.37
1.419,21.63
1.420,19.63
1.421,43.63
1.422,108.6
1.423,118.6
1.424,35.64
1.425,18.63
1.426,-7.374
1.427,-99.38
1.428,-85.37
1.429,-13.37
1.430,-46.37
1.431,-77.38
1.432,-164.4
1.433,-235.4
1.434,-239.4
1.435,-52.37
1.436,124.6
1.437,231.6
1.438,332.6
1.439,321.6
1.440,352.6
1.441,286.6
1.442,195.6
1.443,101.6
1.444,-32.37
1.445,-179.4
1.446,-330.4
1.447,-359.4
1.448,-201.4
1.449,-144.4
1.450,-20.38
1.451,37.63
1.452,-51.38
1.453,-66.38
1.454,-43.37
1.455,-139.4
1.456,-252.4
1.457,-161.4
1.458,-45.38
1.459,131.6
1.460,290.6
1.461,372.6
1.462,363.6
1.463,323.6
1.464,292.6
1.465,295.6
1.466,222.6
1.467,121.6
1.468,34.61
1.469,-61.37
1.470,-105.4
1.471,-120.4
1.472,-138.4
1.473,-115.4
1.474,-97.37
1.475,-83.38
1.476,-74.38
1.477,-70.37
1.478,-72.36
1.479,-74.38
1.480,-99.38
1.481,-163.4
1.482,-271.4
1.483,-260.4
1.484,-187.4
1.485,-110.4
1.486,-87.38
1.487,7.626
1.488,87.61
1.489,168.6
1.490,226.6
1.491,229.6
1.492,195.6
1.493,114.6
1.494,63.62
1.495,76.63
1.496,69.62
1.497,8.621
1.498,-53.37
1.499,-103.4
1.500,-154.4
1.501,-127.4
1.502,-66.38
1.503,-21.38
1.504,-39.38
1.505,-200.4
1.506,-269.4
1.507,-168.4
1.508,-35.37
1.509,58.63
1.510,122.6
1.511,57.63
1.512,-37.39
1.513,-35.37
1.514,44.62
1.515,157.6
1.516,218.6
1.517,208.6
1.518,195.6
1.519,111.6
1.520,72.63
1.521,42.63
1.522,-13.37
1.523,4.626
1.524,-27.38
1.525,-92.38
1.526,-113.4
1.527,-147.4
1.528,-168.4
1.529,-83.38
1.530,8.621
1.531,88.61
1.532,124.6
1.533,126.6
1.534,79.63
1.535,66.62
1.536,70.61
1.537,32.62
1.538,-9.379
1.539,-120.4
1.540,-141.4
1.541,-121.4
1.542,-65.38
1.543,0.6316
1.544,-104.4
1.545,-234.4
1.546,-267.4
1.547,-253.4
1.548,-199.4
1.549,-154.4
1.550,52.61
1.551,209.6
1.552,282.6
1.553,205.6
1.554,211.6
1.555,218.6
1.556,256.6
1.557,196.6
1.558,59.62
1.559,-3.379
1.560,-50.37
1.561,-14.37
1.562,-4.389
1.563,28.63
1.564,84.61
1.565,61.63
1.566,23.62
1.567,23.62
1.568,-51.38
1.569,-30.38
1.570,38.62
1.571,22.63
1.572,-39.38
1.573,-51.38
1.574,-67.37
1.575,-17.37
1.576,-28.37
1.577,-62.38
1.578,-204.4
1.579,-331.4
1.580,-258.4
